sen_a,sen_b,label
梦见龙什么征兆,梦见龙，是什么征兆？,1
蝴蝶的繁体字怎么写,蝴蝶的繁体字怎么写啊,1
您这个是还花呗的哦,那就是您拿花呗的,0
社会学的研究方法包括几个层次,社会学实证研究方法是什么,0
贴吧怎么加好友,贴吧的回复怎么删除,0
去了皮的煮鸡蛋滚脸有什么好处,煮鸡蛋有营养还是炒的好,0
剑灵里什么角色好,剑灵里抱猫的是什么角色,0
电脑卡，如何解决！,怎么解决电脑卡,1
为什么我的赛尔号打不开,为什么赛尔号打不开网页,1
做瑜伽有什么好处？,练瑜伽有什么好处,1
材料化学与材料科学与工程有区别吗？,高分子材料和材料科学与工程哪个专业好,0
曼谷素万那普国际机场免税店,曼谷素万那普国际机场怎么样,0
你最不喜欢哪个国家的人,你最喜欢那个国家,0
三高人群是哪三高？他们适合吃什么？,什么茶不含糖，适合三高人群喝？,0
刘海怎样才不贴额头,怎样使偏刘海贴在额头上,0
手机听歌用什么软件音质好？,手机用什么软件听音乐最好,0
梦见着火是什么意思,梦见蛆是什么意思,0
支付宝怎么查看一年的账单,怎么查看支付宝2014年度账单,0
平安夜送什么,平安夜是什么时候，,0
怎样退出群聊微信,怎样退出微信群聊？,1
网络的镁铝是什么意思,网络语嘚瑟什么意思,0
有什么酷跑外挂,酷跑有什么外挂？,1
异地可以办理临时身份证吗？,在异地能办理临时身份证吗,1
国产化妆品哪个牌子的好。,国产的化妆品哪个牌子好用,1
怎样避孕最安全,怎么避孕最安全？,1
是不是快捷支付？？？？？？,快捷支付的还是网银呢^_^,1
我想找一个人该怎么找,假如你很恨一个人该怎么办？,0
哪个软件可以免费打电话？,有什么软件可以免费打电话的,1
麻烦您告诉我一下公司营业执照的后八位，方便为您核实。,麻烦您提供一下您的营业执照的后八位。这边帮您核实一下信息。麻烦您了。,1
道客巴巴文档怎样免费下载啊,道客巴巴怎么免费下载文档？,1
切西瓜游戏有没有不带炸弹的,手机游戏切西瓜.要钱么,0
你不知道我爱你。,我爱你她说不知道,0
天籁纸鸢的小说,天籁纸鸢的小说！,1
送我一个奥奇传说号,给我一个奥奇传说的真号,1
这是什么车的标志？,这是什么标志【有图】,1
胳膊一抓就起小疙瘩,胳膊起疙瘩。,0
小学每年大概都是什么时候放假？,小学一般什么时候放假,1
适合女生玩的网游或网页游戏？,适合女生玩的网页游戏要漂亮好玩的,0
主角叫凌云的小说,主角是正太的小说,0
蛇年宝宝起名大全,宝宝起名大全,1
硬盘是什么？,什么硬盘好,1
女儿叫什么名字好呢？,我女儿叫什么名字好听,1
什么卡打电话最便宜,用什么卡打电话最便宜？,1
帮帮忙，哥哥姐姐,"哥哥,姐姐帮帮忙",1
怎样正确刷牙,如何正确的刷牙,1
有关动物的故事有哪些,动物与人的故事,1
女的去酒吧跳什么舞,什么是酒吧麦？,0
请问这两种植物分别叫什么名字,请问这两种植物是什么,1
糖尿病人能吃什么,糖尿病人可以吃炒鸡肫片吗,1
金色花泰戈尔作者为什么把孩子想象成一朵金色花,诗人泰戈尔为什么把孩子想象成一朵金花,1
天龙八部怎么做42级神器,天龙八部86神器怎么做,0
宝宝喝什么奶粉好,宝宝吃什么奶粉？,1
什么东西能辟邪,什么东西可以辟邪,1
治月经提前吃什么药,月经提前吃什么药,1
怎么搞好人际关系？,怎么样才能搞好人际关系,1
什么样的生活最有意思？,什么样的生活才有意思呢？,1
有谁知道微信代购怎么做的？,在微信上怎么做代购呢,1
工程地质勘察报告中应包括哪些主要内容,工程地质学:矿物主要的物理性质有哪些,0
稍等，小二为您查询一下,您稍等，小二为您查询一下,1
世界末日是什么时候,什么时候世界末日？,1
高铁票怎么订的,高铁票怎么订,1
有什么购物的软件？,什么软件可以购物吗,1
怎么才能减掉大肚子,怎么减掉大肚子,1
求一部周润发电影。,求周润发一部电影,1
初中生元旦表演什么舞蹈？,初中生适合学什么舞,0
微店什么好卖,卖蜂蜜的店叫什么,0
平的笔顺怎么写,小学生手抄报写什么好,0
什么色的石头值钱,什么石头值钱？,0
这个图片上的女孩叫什么名字？,图片上这个女孩叫什么名字,1
表演的近义词是什么,立郎的近义词是什么,0
冬天穿什么鞋最暖和,冬天穿什么裤最保暖,0
求一些好听的流行歌曲,求一些好听的流行歌曲…,1
精卫填海中的精卫指的是什么,精卫填海中精卫是什么,1
现在的网络上理财安不安全啊？,红岭创投网络理财靠谱吗，真的很安全吗?,0
我的世界手机村庄怎么寻,我的世界手机版村庄怎么找,1
还有什么方法,什么方法能赚快钱,0
中华的车怎么样,中华怎么样,0
如何用高锰酸钾制取氧气,高锰酸钾怎样制取氧气？,1
《水浒传》中徐宁的绰号,《水浒传》中柴进的绰号,0
如何挽回失去的爱情,怎么样才能挽回我那失去的爱情,1
平均速度公式是什么,求平均速度的公式是什么,1
天天酷跑上面好像木有羊小飞飞,天天酷跑有破解版吗,0
男人最容易出轨是什么时候,男人什么时候容易出轨,1
厦门钓鱼称哪里买,厦门哪里可以钓鱼,0
什么电脑玩游戏好？,什么电脑好一点？玩游戏,1
怎样才能使自己每天都有一个好心情,怎样才能让每天都保持好心情,1
游民星空下载不了,游民星空没有下载,0
山东大学的机械工程专业好吗？,河海大学机械工程专业好吗,0
求动漫图片出处,求图片的动漫出处,1
是否是话费充值的呢,您好，花呗充值话费是一个月只能充值一次的哦,0
陌陌号站街是什么意思,陌陌站街什么意思啊,1
杭州什么妇科医院好,杭州人流医院排名？,0
下载《大笑江湖》电影,大笑江湖电影下载,1
孔子是哪个朝代，是什么样的人？,孔子什么朝代，什么样人,1
什么软件可以定位手机号,大家好，请问有什么软件可以给手机号定位,1
冻大虾怎么做好吃,大虾怎样最好吃,0
送什么生日礼物给女闺蜜好,送闺蜜生日礼物送什么最好,1
这种类型的头像,求像这样类型的头像,1
您这个手机号是否绑定了其他的支付宝账户呢,您的手机号，是否还绑定的其他的支付宝账户呢,1
怎么自制天文望远镜,如何自制天文望远镜？,1
斗破苍穹漫画哪里下载,斗破苍穹漫画哪里能下载,0
请问这个兰花的品种是什么？,请问我的这些兰花是什么品种？,1
在电脑上怎么玩冒泡社区？,怎样在电脑上玩冒泡社区？,1
猴子喜欢吃什么,猴子喜欢吃什么？,1
淘宝用什么引流好,在淘宝上卖什么好,1
请问她是谁？谢谢！,请问她是谁谢谢,1
个性班级名称,班级个性名称,1
女人吃什么最补肾？,女人补肾吃什么？,1
三角牌电饭煲怎么修,三角牌电饭煲好吗怎么样,0
天气预报的软件哪个好,天气预报软件哪个好,1
小孩戴什么好,小孩什么时候会爬,0
最近有什么好看的电视吗？,最近有什么电视好看吗,1
小泥人怎么做的陶艺教学？,想学陶艺可怎么学呢，小泥人陶艺怎么样。,1
这个是什么动画！？,这动画叫什么,1
请您提供一下您的支付宝账户（邮箱或者手机号）方便我为您查询.,请您提供一下您的支付宝账户（邮箱或手机号），方便我为您查询,1
西瓜子怎么吃,西瓜子怎么炒好剥,0
喝什么去肝火,肝火旺喝什么汤,1
什么的沙漠,去沙漠穿什么鞋,0
包头是哪个省的,包头是哪个省,1
广东这边最近好找工作吗？,广东工作好找吗？,1
谁能帮我找可爱狗狗图片？,谁有可爱狗狗的图片？,1
读书百变的谚语后面是什么,书读百遍的下一句?,1
名侦探柯南的图片,名侦探柯南图片,1
这个，图片上，头饰怎么做？,这个图片中的头饰,1
网络黑客是指什么？,网络黑客是什么,1
手机输入法搜狗里边的美聊配图花电话费么,佳德美手机怎解屏幕图锁,0
什么搜索引擎最好？,一天中哪个时候是最好的补钙时间,0
一部关于少林寺的电视剧,有关少林寺的一部电视剧,1
脚底脱皮而且痒怎么回事,脚底脱皮怎么回事,1
男人生日送什么？,男人生日的时候送什么,1
亲，请问您是卖家的吗？,您好，谢谢您提供，请问您是买家还是卖家？,0
梦见对方穿绿衣服是什么意思？,梦见买的新衣服丢了是什么意思,0
求这张图片的大图,求罪恶王冠的高清图片，要新的,0
这是什么动漫或者游戏里的人物？,这是哪个动漫或者游戏里的人物？,1
求这个动漫人物出处,求动漫人物出处,1
求大传说中的勇者传说,传说中勇者的传说结局,0
为什么最炫民族风这么火,最炫民族风为什么这么火,1
怎么在网上激活平安银行卡啊,怎样可以自己在网上充值话费,0
支付宝怎么赚钱给别人,怎么在支付宝上赚钱。,0
帮我女朋友取个外号！,我想给女朋友取个外号,1
哺乳期能喝绿豆汤吗？,哺乳期绿豆汤能吃吗,1
您好，麻烦您按照邮件的提示操作一下的，辛苦您了,建议您接收一下邮件根据提示操作找回支付密码的，也不是很麻烦的，麻烦您了,0
白带多吃什么药,什么时候白带多,0
网址是什么？,网址是什么啊,1
浩方电竞平台注册怎么获取短信验证码,浩方电竞平台里的真三国怎么才能开始游戏,0
我是丹凤眼么,我是丹凤眼吗？,1
微信号怎么下载,怎么从新下下载微信号,1
昨晚做了个梦。,求学霸帮忙，有打比才,0
什么东西越洗越脏？,什么东西越洗越脏。,1
别对我太好，英语怎么写？,我恨你英语怎么读,0
晶弘冰箱保修几年,晶弘冰箱质量,0
网络用语都有哪些？,网络用语有哪些,1
这个是什么头型,大家说这是什么头型？,1
眼皮痒是怎么回事,三眼皮是怎么回事,0
夫妻之间怎么相处,夫妻之间是怎么相处的,1
在淘宝开店了，如何推广自己的店铺？,淘宝开店怎样宣传自己的店铺高手进,1
令我敬佩的清洁工怎么写？,我怎么和妈妈说,0
我想买完美芦荟胶该去哪里买？,我想买股票怎么买啊新手,0
有什么好看的恐怖电影吗？,有什么好看的日韩恐怖电影？,1
怎样提高自己的记忆力,如何提高自己的记忆力呢,1
泸州老窖怎么样？,泸州老窖怎么样,1
您付款的时候系统有什么提示吗亲,恩恩　对的　那你在支付的时候　页面是如何显示的呢？,1
谁给个我的世界籽岷的材质包,我的世界谁有材质包,0
您是联通的还是移动的呢,您的电话移动的还是联通的呢,1
最好玩网络游戏有那些,人最多最好玩的网页游戏有哪些,0
好的，这边是已经为您取消了的，请您核实一下您的账户余额的，辛苦您了。,这边帮您核实您的还款是已经成功的，辛苦您核实您的信用卡的额度有没有恢复？,0
世界上流经国家最多的河流是,世界上流经国家最多的河流是？,1
建议您耐心等待一下工作人员后续给您回电，请您保持电话畅通，麻烦您了。,申请风险预约，预约成功后会有相关的工作人员介入，请您保持电话通畅。,0
山东有什么好吃的,有哪些好吃的零食淘宝有卖的,0
金秀贤喜欢全智贤吗,金秀贤喜欢全智贤吗？,1
阻挡的近义词是什么？,阻挡的近义词是什么,1
金凤凰怎么会死啊,金凤凰怎么死了啊,1
天空的颜色是什么样子的,时间不会瞬间改变天空的颜色的歌名是什么,0
历史上姓车的名人有哪些,历史上姓于的名人,0
死神地狱篇什么时候出？,死神地狱篇什么时候出,1
苹果哪里的最好吃？,哪里的苹果最好吃？,1
好的，辛苦您了，请问还有其他可以帮您的吗？,恩恩，辛苦您了，感谢您的理解和配合，请问还有其他什么可以帮到您？,1
半条命2物理沙盘机器人怎么加,半条命2物理沙盘怎么联机,0
这张照片有什么亮点？,这张图片有什么亮点？,1
网页图片怎么制作？用什么软件？,怎样制作动态图片？需要用到什么软件？,0
汽车刮痕怎么处理？,汽车碰擦怎么处理？,0
最近好看的电视连续剧有什么,最近有什么好看电视连续剧,1
唯品会东西好吗,唯品会可以买东西吗？,0
什么叫变频空调,什么叫变频空调？,1
祖国山河好下联是什么,祖国山河壮下联是什么？,1
这个支付宝账户不是您注册的是吗？,请问这个支付宝账户是您注册的吗？,1
怎么样锻炼腹肌最有效？,怎么才能有效的锻炼腹肌,1
没剥壳的鸡蛋放高压锅里会爆炸,为什么鸡蛋放在微波炉里会爆炸？,0
你们想干什么！,我想干什么呢,1
求《异世女邪凰》全本。,求《嫡谋》的全本,0
所以目前是要登陆签约该卡的支付宝账户撤销签约之后再重新签约即可,如果您是绑定的银行卡无法支付，建议您撤销绑定后，重新绑定支付试试的,0
吃了香蕉不能吃什么,香蕉和什么不能吃,1
跪求《凤于九天》漫画版,《凤于九天》漫画版,1
微信头像换不了了，怎么办？,支付宝实名认证问题！急！,0
"什么东西天气越热,爬的越高",什么东西天气越热它爬的越高？,1
交易亦客小说,亦客的小说《交易》,1
在线看电影哪个网站好啊,在线看高清电影哪个网站好,1
去黑头粉刺的方法,粉刺针怎么去黑头,0
小米移动电源怎么样,小米移动电源怎么关,0
中秋节手抄报的资料·,中秋节手抄报的资料,1
端午节的习俗有哪些,端午节的有关习俗,1
新浪微博里收藏的微博会保存多久?,新浪微博里。收藏的微薄只有可以自己看见？,0
吃香蕉上火吗,香蕉上火吗？,1
我的世界手机版怎么建大炮,我的世界手机版大炮怎么咋做。,1
夜以继日什么意思？,夜以继日是什么意思？,1
沙发是什么意思,沙发什么意思?,1
感谢您的配合，对应的工作人员将马上为您服务，请您稍等，不要关闭此页,、谢谢您的配合，对应的工作人员将马上为您服务，请您稍等，不要关闭此页面,1
这是大众什么车型！？,这是大众的什么车型,1
哪个牌子的黑枸杞比较好？,野生黑枸杞哪个品牌好,1
家用跑步机哪个牌子好,家用跑步机哪个牌子好？,1
淘宝和美丽说哪个好,淘宝美丽说在哪,0
如何做代理商,怎么做代理商,1
赛尔号塔克林如何打,赛尔号塔克林怎么打？,1
周公解梦梦见被狗咬,周公解梦梦见把儿子弄丢了,0
用临时身份证的可以办银行卡吗？,临时身份证可以办银行卡吗？,1
有没有什么好玩的手机单机游戏？,有没有什么好玩的手机单机游戏,1
顺丰客服怎么样,申通有在线客服吗？,0
求答案}疯狂猜歌,求疯狂猜歌答案…,1
这边把您的信息备注一下，好的。,您好，这边给您做一个身份验证以便小二为您查询哦。,0
麻烦您输入后8位的，辛苦您了,您好，为了您保障您的账户安全，请输入一下您的护照后4位，麻烦您了。,0
大连是哪个省？,大连是哪个省的啊,1
边缘性行为是指什么,边缘性行为是什么啊？,1
西安轻工市场在哪里？离火车站远吗？,西安市轻工市场，在那个区？什么路？,0
华侨大学的床多高,华侨大学在哪个省﹖,0
有什么方法可以诅咒一个人快点去死,有什么十分有效的诅咒人的方法吗,0
上海自来水来自海上，请对下联,上海自来水来自海上，下联是：？,1
性别不同，怎么谈恋爱？,性别不同怎么谈恋爱啊,1
怎么样能快速长胖,怎样快速长胖,1
哪里能看最新的电影？或者电视剧,去哪里可以看最新的电影和电视剧,1
时间都去哪了钢琴简谱,时间都去哪了简单版钢琴谱,1
怎样减肚子和腰上的赘肉,我想减屁股和大腿上的肉肉,0
耳机有电流声,耳机电流有多大,0
女朋友有什么很讨厌我怎么办,女朋友很讨厌我说我恶心怎么办,1
三个闺蜜头像,三个人的闺蜜头像,1
您可以转账支付宝的是限额打的，。,是的哦，那个+9就是的呢，-9的就是转入到您的余额宝的哦,0
该怎么写关于过年的作文？,怎么写过年的作文,1
动物和人的电影,人与动物电影,1
人大经济论坛账号,人大经济论坛的审稿流程怎么看不到,0
怎么取消迅雷会员自动续费,qq会员怎么取消自动续费,0
打开图片提示没有生成预览怎么回事，急求啊,F盘里的图片不能被复制，打开也没有预览,0
这边给您推送，您输入一下身份证号码还有旧名字可以吗？,这边给您推送，您输入一下您的身份证号码还有旧名字可以吗？,1
免费女宝宝取名,免费给女宝宝取名,1
天猫商城会有假货吗,天猫商城会不会有假货啊,1
我的世界刷怪笼问题,关于我的世界刷怪塔的问题,0
电脑声音没有了,电脑没有声音,1
投机心切是什么意思,投机是什么意思,0
如果这个手机号在使用的话是可以给您发送邮件操作修改的,请问您的这个邮箱现在可用吗，这边帮您发送一封修改手机的邮件，您看可以吗？,1
把这张图片去水印，,找这张图片，无水印的。,0
什么酒价格最贵,什么酒的价格最贵,1
我姓王图片怎么制作,制作图片文字,0
我们约会吧蔡旸愿为谁买肉,我们约会吧云才嫂和谁走了,0
有谁在看因为爱情有奇缘,谁有最号的小说看，介绍下,0
山西大学商务学院招生,山西大学商务学院分数线,0
查询您的找回密码是在审核中的，辛苦您耐心等待,您好，您的人工找回密码是正在审核中的，辛苦您耐心等待一下审核结果的,1
微会打电话安全吗？,微会打电话安全吗,1
穿楷书怎么写,稣字楷书怎么写,0
什么东西好吃,有什么东西好吃？,1
如何去优酷广告,优酷怎么去广告,1
怎样在莎莎购物,怎样办购物卡呢,0
如果删除了照片怎么恢复,文件删除了还能恢复吗。,0
星座什么的是按阳历还是阴历啊,星座是按阳历还是阴历？,1
怎样做辣椒,怎样切辣椒丝,0
人类什么时候开始出现,人类是什么时候出现的？,1
费列罗巧克力的含义,费列罗巧克力48粒含义,0
给我一个身份证号码，求,微信漂流瓶能扔多少个字。,0
爱因斯坦是发明什么的？,爱因斯坦发明了什么？,1
麻烦您截图下您那个界面，这边为您看看的,麻烦您把您这个页面截图给我看看,1
怎样向意林投稿,怎么给意林投稿,1
部落冲突怎么刷宝石,部落战争怎么刷宝石,0
天然气汽车夏天总是开锅怎么办,蓝翔汽修:汽车开锅后怎么办？,0
抱歉，辛苦您联系淘宝客服问一下，是什么原因无法登陆淘宝账户您看可以吗？,建议您先和卖家协商，或者联系淘宝客服维权处理。,0
郑州美丽时光整形美容医院的服务好吗？,郑州东方整形美容医院吸脂减肥效果好吗?,0
哪里可以下载同桌的你,哪里可以免费下载“同桌的你”,1
在家里用怎么用电脑赚钱,在家里用电脑怎么赚钱,1
我要的照片呢,我要照片,0
和视频怎么用,怎么拍视频？,0
要动漫孕妇图,哪个动漫东西来着,0
手机怎样看电视直播,怎样在手机上看电视直播,1
数学练习题。,那里卖四年级语文书,0
显卡经常接触不良,显卡总是接触不良,1
中年人喜欢在什么贴吧,中年人喜欢听什么歌,0
现在什么电视最好看,现在什么电视好看？,1
好看的青春类电影有什么？,有什么好看的青春电影,1
手机支付宝上怎么看支付宝账号啊,手机上的话费余额可以转到支付宝账户吗？,0
这是个什么颜色的鸽子？,鸽子都有什么颜色？,0
句子仿写:事业说:人生就是建筑历史上的一块钻石,知识成就梦想勤劳铸就辉煌人生作文400字,0
三峡大坝在哪里,三峡大坝在哪里？,1
广东话吹啊是什么意思,广东话，知你爱啊飘啦是什么意思,0
求一张壁纸！,求一张壁纸图,1
苹果手机怎样删除通讯录了的人,怎样全部删除苹果手机通讯录,0
是什么基金产品？,您买的是什么产品的呢,1
求几部好看的动漫最好是打斗场面华丽点的。,求好看的日本恋爱美少女动漫,0
小米四怎么样,小米四怎么样？,1
台式电脑可以无线上网吗,手机能否通过电脑上网,0
微积分求极限！,求极限，微积分,1
给女朋友起小名,给女朋友取小名,1
您好，请问正确的收款人姓名应该是什么？,请问您的手机号码、邮箱是多少？请问您的真实姓名叫什么？帮您记录反馈一下,0
皮肤外油内干,皮肤外油内干，烦人,1
平板电脑皮套加小键盘的好不好,三星平板电脑皮套怎么使用,0
下雨天南风好钓鱼吗?,下雨天好钓鱼吗?,0
中邮核心成长基金最低可投资多少,中邮核心成长基金现在的净值是多少,0
微信如何截图，,在微信中怎样截图？,1
怎样跑步不累,怎样跑步又快又不累,1
关于一部狼人的电影,关于一部狼人有关的电影,1
焰色反应是什么？,什么是焰色反应,1
怎么宽带刷钻,怎么用宽带刷钻,1
十万元做什么生意。,十万元可以做什么生意,1
韩国化妆品品牌,韩国化妆品有哪些品牌,1
被套什么面料好,被套什么面料的好,1
淘宝怎么认证开店？,淘宝开店怎么认证,1
理科女生学化工好吗学中药有前途吗,学化工有前途吗?毕业后的就业方向是什么?,0
我不想写作业啊,我不想写作业,1
怕冷是怎么回事？,右眼跳啊跳的怎么回事啊,0
我国京剧的四大名旦是谁？,中国京剧四大名旦分别是谁,1
呛口小辣椒是谁,小辣椒是谁,0
吃什么管拉肚子,吃什么能拉肚子呢？,0
怎么找回三星手机,我的三星手机掉了怎么找回呢？,1
移动宽带怎样？,如何办移动宽带,0
为什么大雁秋天要飞到南方去?,为什么大雁秋天要飞到南方去？,1
这种脸型适合空气刘海吗,我这种脸型适合剪空气刘海吗,1
买手机怎么可以分期付款,我想买手机，能分期付款吗？,0
微信怎么群发消息,微信消息怎么群发,1
怎样入侵手机,如何入侵别人的手机,1
怎么隐藏微博,微博怎么隐藏？,1
图片里的男人是谁？,谁是谁的谁的谁？,0
游戏王游戏中文版下载,游戏王中文版的游戏下载,1
这是金丝楠木么,名字多少画最好,0
好看的动漫头像(男),各种好看的动漫头像,1
为什么书包网下载不了小说呀,第二书包网为什么手机下载不了,0
微信可以上传视频吗？,微信能上传视频吗？,1
求经典都市重生小说,求主角无敌的都市异能小说,0
什么时候去张家界旅游最好？,去张家界旅游的最好时间是什么时候,1
欢乐斗地主版本怎么变成先癞子再加倍了,手机QQ欢乐斗地主里怎么没有癞子场,0
亚洲男神投票,亚洲男神投票在哪投,1
初三男生喜欢什么生日礼物,男生一般喜欢什么生日礼物,1
如果上司不喜欢你，排挤你，怎么办,如果你的直接领导上司不喜欢你，怎么办,1
一个女生喜欢男生的表现是什么还有眼神。,男生看自己喜欢的女生应该是什么样子的眼神？,0
稍等，为您查看下,我看下，您稍等,1
红米玩机手册从哪下载,红米玩机手册在哪找,1
造一个比喻句,用是造一个比喻句,1
怎样能使头发长得快一些？,怎样让头发长得快,1
猫喜欢吃什么水果？,你们喜欢吃什么水果,0
梦到怀孕什么意思,梦到自己怀孕是什么意思？,1
废柴兄弟艾玛说的今晚来我家吃饭是什么意思,男同学说我的脸长得很夸张=艾玛啥意思啊。,0
怎么发起投票啊！,怎么发起投票,1
抱歉，请问您这里遇到什么问题了呢？,小二不是很明白您的意思的，请问您是遇到了什么问题？,0
为什么男生喜欢摸女生的胸和下面,为什么男人见了漂亮女人就想抱,0
小二这边也是想帮您核实的，但是这边确实也是没有操作的路径的，很抱歉,小二非常理解您现在着急的心情，这边也很想帮您但目前确实是没有加急的入口,0
水果什么时候吃最好,水果在什么时候吃最好,1
哪里有免费的无损音乐下载，,哪里有免费无损音乐下载？,1
卧槽是什么意思？,卧槽是什么意思？！,1
世界上上哪个国家最大,世界那个国家最大,1
这个多肉植物叫什么啊？,这个是哪个多肉植物？,1
周公解梦梦见死人,周公解梦梦见死人还带血,0
你在国外吗？英语怎么翻译?,为什么要在国外生活一辈子翻译英语怎么说?,0
有什么好听的古典音乐,各位请问下有什么好听的古典音乐,1
怎么删除微信好友？急,怎么把微信好友删除,1
现在有什么好听的歌曲呢？,现在什么歌曲好听？,1
养狗有什么好处吗,养狗有什么好处,1
求天空之城的吉他谱,求天空之城吉他谱…,1
新仙剑奇侠传三什么时候出,仙剑奇侠传六什么时候出？,0
我要找电影,我要看电影,1
我的支付宝账号在哪里查看啊！,我想问，支付宝账号怎么查看？,1
今年流行什么颜色？,今年最流行的颜色是什么？,1
男友喜欢舌吻我正常吗，他是真的爱我么，,一个男人和我舌吻了，但从不说喜欢我，为什么？,0
老人们怎么保护眼睛。,怎样保护眼睛,1
贵州卫视非常完美报名方式,完美告白报名联系方式,0
骑摩托车能上高速吗,摩托车可以上高速吗？,1
“生当作人杰”下一句是什么,生当作人杰下一句是什么,1
你知道我想要什么吗？,我不知道你想要的是什么？,0
大（）而（）括号里填啥是成语,笑得（）括号里填成语,0
我的配置能不能玩战地之王？,我家的配置能不能玩战地之王,1
一本关于退役特种兵的小说,关于一本退伍特种兵的小说,1
求杨幂带的这款手表,求此女的姓名和资料,0
皇帝成长计划后宫版,下一站幸福小说版,0
什么材质的瓷砖好,魔兽世界用什么职业好,0
我不怕鬼阅读短文答案,阅读短文牛的答案,0
请问怎么复制别人手机卡,请问下如何复制别人手机卡,1
是三国题材的，跟红警带兵打仗一样的单机游戏,有带兵打仗的可用计谋的三国单机游戏吗?请指教。,0
中国海洋大学工程热物理考研专业课是什么,中国海洋大学气海洋物理考研专业课考试,0
疯狂猜明星小时候，这是谁？,疯狂猜明星小时候这个地是谁？,1
这个是建议您注册一个新的支付宝账户使用的，需要是您的自己的账户的,但是这边是无法操作解绑这个账户的，因为支付宝这边是无权动用他人的账户的,0
这个书包是什么牌子？,什么牌子的书包好,0
笔记本电脑屏幕亮度调节了但是亮度不变,笔记本电脑屏幕亮度不能调节了,0
追鱼传奇在哪可以看全集？,追鱼传奇全集在哪里可以看,1
北京哪个医院皮肤科最好,北京哪个骨科医院比较好,0
六年级数学寒假作业,六年级寒假作业、数学,1
看图猜成语，。这个是什么成语阿,看图猜成语泵是什么成语,0
成都哪里有灭火器买？,成都哪里冲灭火器,1
求个哔哩哔哩邀请码,求个哔哩哔哩邀请码啊,1
求一部关于少林寺的电影,求关于少林寺的一部电影。,1
怎么让头发长得快,怎么让头发长得快啊,1
刘圆月的繁体字怎么写,命运的繁体字怎么写,0
世界人口最多的国家是哪个？,世界最小的国家是哪个,0
求兔子头像,酷跑大狐狸头像什么样,0
海南大红菠萝哦多少钱一斤？成都的,南京的木菠萝现在卖多少钱一斤？,0
职业买手是做什么的？,冒险岛捅奶是什么？职业？,0
天天酷跑怎样才有无限钻石,天天酷跑怎么样得无限钻石,1
三星n3手机计算器下载安装,寻找手机计算器,0
济宁都有什么好玩的地方,济宁有什么好玩的地方？,1
微信误删好友怎么恢复,误删除微信好友怎么恢复,1
名字个性签名设计,设计名字个性签名,1
指尖奶茶，这漫画谁有,谁有跟这个萌女孩，一样的照片,0
什么牌子的电蒸锅好？,蒸锅什么牌子好,1
什么是大医生,医生写的什么？,0
神雕侠侣什么时候更新,神雕侠侣什么时候更新啊？,1
请您提供下银行卡名称和银行卡号后四位，麻烦您了。,麻烦您提供您的中国邮政储蓄银行银行卡的卡号，辛苦您了,0
作文《还没有结束》,作文-并没有结束,1
女人吃什么补血？,女人吃什么补血呀？,1
军事交通学院哪个专业最好？,军事交通学院是个什么级别的学院？,0
在线设计签名，急！,求免费艺术签名【冯玲】,0
杭州下沙哪里可以读大学的预科班？,从杭州下沙大学城怎么到浙江武义唐风温泉？,0
别克凯越是哪个国家的车？,别克凯越是哪个国家的品牌,1
疯狂猜歌37关歌手,疯狂猜歌7歌手,0
平板电脑能玩网游吗？能玩哪些游戏？比如CF,平板电脑能玩网页游戏吗，和电脑一样吗,0
我想买二手吊车,我想买十字绣,0
生活有什么意义,生活的意义是什么,1
什么样的房子不能住人,什么样的房子不能买,1
那么问题就来了！？,那么问题来了：,1
吴昕杜海涛结婚了吗,吴昕和杜海涛结婚了吗,1
怀孕四个月肚子图,怀孕五个月胎儿图,0
广州哪里有银行卡卖，哪里有？,广州哪里有银行卡卖啊,1
为什么说是金子总会发光？,李小龙和他师傅对打是多少集,0
戒指戴食指是什么意思,戒指戴在食指上是什么意思？,1
怎样升级手机安卓系统,怎么升级手机系统安卓,1
控制饮食能减肥吗,怎样控制饮食能减肥,0
求一部电影。,求一部电影~,1
手机三国杀如何刷元宝,哥！三国杀手机的怎么刷元宝啊？,1
紫色加黄色是什么颜色,蜜橙色是什么颜色,0
建议您操作一下打款认证，如果无法操作只能更换一下银行卡操作的，麻烦您了。,很抱歉，不可以的，建议您在电脑端操作使用邮箱注册支付宝账户的，麻烦您了。,0
怎样使牛仔裤不褪色？,牛仔裤怎么洗不褪色？,1
百雀羚保湿霜怎么样,百雀羚保湿霜怎么用？,0
不可一世的意思是什么？,不可一世是什么意思、,1
什么软件可以自己制作音乐,有什么软件可以制作属于我自己的音乐,1
这是干嘛用的,这是干嘛的,1
在无锡学日语去哪里好？,在无锡学日语，哪里好？,1
拿什么拯救你我的爱人,我拿什么拯救我的爱人？,1
想找一部法国电影,求一部法国电影,1
这种植物是什么,这种植物到底是什么,1
怎么才能让自己快速发烧？,怎么才能快速发烧,1
这张图片的高清大图～,谁有这张图片的大图高清？,1
头像怎么设置,怎么设置头像？,1
空间名称怎么就加长了？,空间名字怎么加长，帮下忙教教我啊,0
作文《人与动物》,写动物的作文,0
这盆景叫什么,凤凰传奇这两个什么关系？,0
微信朋友圈评论怎么删除,微信怎么删除朋友圈信息,0
帮我设计个名字,可以帮我设计下名字么？：陈爽,1
数字5121代表的意思,数字代表的意思,0
求进击的巨人漫画,求进击的巨人漫画全部,1
